topic,type,query,value
청약,top,주택 청약,100
청약,top,lh,69
청약,top,lh 청약,69
청약,top,청약 통장,52
청약,top,청약 플러스,50
청약,top,lh 청약 플러스,37
청약,top,청년 청약,33
청약,top,sh,31
청약,top,청약 센터,31
청약,top,sh 청약,31
청약,top,청년 주택,27
청약,top,청년 주택 청약,26
청약,top,주택 청약 통장,21
청약,top,청약 대출,19
청약,top,청약 철회,18
청약,top,주택 청약 종합 저축,18
청약,top,철산 자이 청약,17
청약,top,아파트 청약,17
청약,top,청년 주택 드림 청약,16
청약,top,sh 청약 센터,15
청약,top,청년 청약 통장,14
청약,top,청년 주택 드림 청약 통장,12
청약,top,청약 신청,11
청약,top,lh 청약 센터,11
청약,top,청약 일정,10
청약,rising,철산 자이 더 헤리티지,4900
청약,rising,철산 자이 청약,4400
청약,rising,무순위 청약,250
청약,rising,안유진 청약,160
청약,rising,더샵 분당 하이 스트,130
아파트,top,압구정 현대 아파트,100
아파트,top,아파트 단지,94
아파트,top,주공 아파트,72
아파트,top,잠실 주공 5 단지 아파트,50
아파트,top,아파트 시세,43
아파트,top,서울 아파트,41
아파트,top,신비 아파트,39
아파트,top,임대 아파트,32
아파트,top,자이 아파트,19
아파트,top,아파트 아이,17
아파트,top,아파트 관리비,14
아파트,top,은마 아파트,14
아파트,top,아파트 실거래,13
아파트,top,아파트 청약,11
아파트,top,아파트 인테리어,9
아파트,top,아파트 실거래 가,8
아파트,top,아파트 경매,7
아파트,top,송도 sk 뷰 아파트,6
아파트,top,아파트 평면도,6
아파트,top,아파트 취득세,6
아파트,top,목동 신시가지 7 단지 아파트,5
아파트,top,아파트 도면,5
아파트,top,마천 우방 아파트,4
아파트,top,신비 아파트 시즌 6,2
아파트,top,아파트 404,1
아파트,rising,마천 우방 아파트,22300
아파트,rising,잠실 주공 5 단지 아파트,8350
아파트,rising,송도 sk 뷰 아파트,4200
아파트,rising,압구정 현대 아파트,4050
아파트,rising,목동 신시가지 7 단지 아파트,1200
아파트,rising,아파트 데스크,170
아파트,rising,주공 아파트,160
아파트,rising,신비 아파트 시즌 6,110
아파트,rising,아파트 404,100
아파트,rising,아파트 단지,100
AI,top,구글 ai,100
AI,top,클로드 ai,95
AI,top,제미 나이 ai,78
AI,top,google ai,70
AI,top,무료 ai,67
AI,top,ai 영상,65
AI,top,ai 추천,57
AI,top,claude ai,54
AI,top,gemini ai,49
AI,top,오픈 ai,40
AI,top,제타 ai,38
AI,top,ai 모드,38
AI,top,ai studio,37
AI,top,ai 채팅,34
AI,top,open ai,34
AI,top,ai 직업 수명,31
AI,top,ai 스튜디오,31
AI,top,ai 그림,28
AI,top,ai 데이터 센터,25
AI,top,생성 형 ai,24
AI,top,ppt ai,23
AI,top,jev ai,22
AI,top,니케 ai,19
AI,top,ai 직업 대체,15
AI,top,캔바 ai,12
AI,rising,jev ai,61650
AI,rising,ai 직업 수명,18250
AI,rising,typesafe ai,6550
AI,rising,니케 ai,1200
AI,rising,사카 나 ai,750
AI,rising,ai 직업 대체,550
AI,rising,you're next,500
AI,rising,ai 데이터 센터,90
AI,rising,우리 아이 ai,70
AI,rising,ai 디지털 교과서,40
