date,청약,아파트,종합소득세,구독서비스,AI
2026-09-09 00:00:00,7,16,0,0,89
2026-09-09 01:00:00,8,16,0,0,96
2026-09-09 02:00:00,7,15,0,0,90
2026-09-09 03:00:00,6,15,0,0,74
2026-09-09 04:00:00,7,17,1,0,100
2026-09-09 05:00:00,6,20,0,0,89
2026-09-09 06:00:00,6,21,0,0,85
2026-09-09 07:00:00,6,19,1,0,81
2026-09-09 08:00:00,5,20,0,0,80
2026-09-09 09:00:00,3,22,0,0,68
2026-09-09 10:00:00,3,26,0,0,68
2026-09-09 11:00:00,4,24,0,0,72
2026-09-09 12:00:00,4,20,0,0,69
2026-09-09 13:00:00,4,16,0,0,78
2026-09-09 14:00:00,3,14,0,0,79
2026-09-09 15:00:00,3,12,0,0,74
2026-09-09 16:00:00,2,11,0,0,77
2026-09-09 17:00:00,1,9,0,0,79
2026-09-09 18:00:00,2,9,0,0,74
2026-09-09 19:00:00,2,15,0,0,65
2026-09-09 20:00:00,0,19,0,0,54
2026-09-09 21:00:00,1,26,0,0,48
2026-09-09 22:00:00,2,29,0,0,50
2026-09-09 23:00:00,4,24,0,0,67
2026-09-10 00:00:00,5,18,0,0,76
2026-09-10 01:00:00,6,17,0,0,81
2026-09-10 02:00:00,5,18,0,0,81
2026-09-10 03:00:00,5,14,0,0,71
2026-09-10 04:00:00,4,17,1,0,74
2026-09-10 05:00:00,5,18,0,0,85
2026-09-10 06:00:00,5,20,0,0,84
2026-09-10 07:00:00,5,22,0,0,74
2026-09-10 08:00:00,4,22,0,0,72
2026-09-10 09:00:00,3,28,0,0,61
2026-09-10 10:00:00,3,24,0,0,60
2026-09-10 11:00:00,3,25,0,0,58
2026-09-10 12:00:00,3,26,0,0,69
2026-09-10 13:00:00,3,27,0,0,64
2026-09-10 14:00:00,4,24,0,0,67
2026-09-10 15:00:00,3,17,0,0,66
2026-09-10 16:00:00,2,16,0,0,76
2026-09-10 17:00:00,3,15,0,0,72
2026-09-10 18:00:00,2,19,0,0,63
2026-09-10 19:00:00,2,23,0,0,64
2026-09-10 20:00:00,2,31,0,0,52
2026-09-10 21:00:00,1,37,0,0,41
2026-09-10 22:00:00,2,43,0,0,49
2026-09-10 23:00:00,4,36,0,0,63
2026-09-11 00:00:00,5,30,0,0,80
2026-09-11 01:00:00,6,27,0,0,80
2026-09-11 02:00:00,6,27,0,0,74
2026-09-11 03:00:00,5,25,0,0,72
2026-09-11 04:00:00,5,28,0,0,75
2026-09-11 05:00:00,5,25,0,0,86
2026-09-11 06:00:00,6,27,0,0,70
2026-09-11 07:00:00,6,24,0,0,69
2026-09-11 08:00:00,5,25,0,0,62
2026-09-11 09:00:00,4,25,0,0,56
2026-09-11 10:00:00,3,22,0,0,51
2026-09-11 11:00:00,2,21,0,0,52
2026-09-11 12:00:00,3,19,0,0,57
2026-09-11 13:00:00,2,15,0,0,59
2026-09-11 14:00:00,3,17,0,0,58
2026-09-11 15:00:00,2,15,0,0,61
2026-09-11 16:00:00,2,12,0,0,63
2026-09-11 17:00:00,2,12,0,0,64
2026-09-11 18:00:00,3,10,0,0,65
2026-09-11 19:00:00,2,14,0,0,51
2026-09-11 20:00:00,2,16,0,0,48
2026-09-11 21:00:00,2,18,0,0,37
2026-09-11 22:00:00,2,20,0,0,38
2026-09-11 23:00:00,2,20,0,0,43
2026-09-12 00:00:00,4,19,0,0,47
2026-09-12 01:00:00,3,19,0,0,53
2026-09-12 02:00:00,3,18,0,0,54
2026-09-12 03:00:00,2,16,0,0,54
