date,청약,아파트,종합소득세,구독서비스,AI
2026-09-18 00:00:00,4,26,0,0,74
2026-09-18 01:00:00,4,25,1,0,75
2026-09-18 02:00:00,4,26,1,0,69
2026-09-18 03:00:00,4,25,0,0,61
2026-09-18 04:00:00,4,20,1,0,69
2026-09-18 05:00:00,4,21,0,0,70
2026-09-18 06:00:00,4,19,1,0,66
2026-09-18 07:00:00,4,19,0,0,61
2026-09-18 08:00:00,3,17,0,0,61
2026-09-18 09:00:00,3,15,0,0,61
2026-09-18 10:00:00,2,15,0,0,55
2026-09-18 11:00:00,2,14,0,0,53
2026-09-18 12:00:00,3,13,0,0,53
2026-09-18 13:00:00,2,12,0,0,60
2026-09-18 14:00:00,2,13,0,0,59
2026-09-18 15:00:00,2,10,0,0,60
2026-09-18 16:00:00,2,9,0,0,61
2026-09-18 17:00:00,0,9,0,0,59
2026-09-18 18:00:00,3,9,0,0,54
2026-09-18 19:00:00,0,10,0,0,55
2026-09-18 20:00:00,0,11,0,0,46
2026-09-18 21:00:00,1,17,0,0,37
2026-09-18 22:00:00,1,16,0,0,42
2026-09-18 23:00:00,2,16,0,0,43
2026-09-19 00:00:00,2,16,0,0,51
2026-09-19 01:00:00,2,15,0,0,53
2026-09-19 02:00:00,2,16,0,0,50
2026-09-19 03:00:00,2,15,0,0,52
2026-09-19 04:00:00,2,14,0,0,51
2026-09-19 05:00:00,3,16,0,0,54
2026-09-19 06:00:00,3,18,0,0,50
2026-09-19 07:00:00,0,17,0,0,47
2026-09-19 08:00:00,0,13,0,0,48
2026-09-19 09:00:00,0,11,0,0,44
2026-09-19 10:00:00,2,12,0,0,40
2026-09-19 11:00:00,0,13,0,0,41
2026-09-19 12:00:00,2,13,0,0,51
2026-09-19 13:00:00,4,12,0,0,46
2026-09-19 14:00:00,0,10,0,0,50
2026-09-19 15:00:00,0,10,0,0,48
2026-09-19 16:00:00,0,9,0,0,65
2026-09-19 17:00:00,0,11,0,0,66
2026-09-19 18:00:00,0,12,0,0,51
2026-09-19 19:00:00,0,9,0,0,68
2026-09-19 20:00:00,0,17,0,0,64
2026-09-19 21:00:00,0,13,0,0,53
2026-09-19 22:00:00,0,16,0,0,53
2026-09-19 23:00:00,0,15,0,0,57
2026-09-20 00:00:00,0,12,0,0,50
2026-09-20 01:00:00,0,17,0,0,59
2026-09-20 02:00:00,3,14,0,0,55
2026-09-20 03:00:00,0,13,0,0,53
2026-09-20 04:00:00,3,16,0,0,54
2026-09-20 05:00:00,3,19,0,0,43
2026-09-20 06:00:00,2,15,0,0,55
2026-09-20 07:00:00,5,14,0,0,57
2026-09-20 08:00:00,3,17,0,0,56
2026-09-20 09:00:00,0,14,0,0,51
