topic,type,query,value
청약,top,주택 청약,100
청약,top,lh 청약,88
청약,top,lh,83
청약,top,sh 청약,73
청약,top,sh,71
청약,top,청약 플러스,65
청약,top,청약 센터,55
청약,top,lh 청약 플러스,46
청약,top,청약 통장,46
청약,top,sh 청약 센터,38
청약,top,청년 청약,31
청약,top,청년 주택,26
청약,top,청년 주택 청약,26
청약,top,청약 저축,24
청약,top,주택 청약 통장,21
청약,top,청약 철회,18
청약,top,주택 청약 종합 저축,16
청약,top,lh 청약 센터,15
청약,top,행복 주택 청약,15
청약,top,청년 주택 드림 청약,14
청약,top,행복 주택,14
청약,top,청년 청약 통장,14
청약,top,아파트 청약,13
청약,top,sh 주택 청약,13
청약,top,청년 드림 청약 통장,11
청약,rising,힐 스테이트 송파 더 그리드,18500
청약,rising,송파 파크 데일 3,8950
청약,rising,혼인 관계 증명서,350
청약,rising,윤슬 자이,250
청약,rising,국민 건강 보험 공단,250
청약,rising,목동 윤슬 자이,180
청약,rising,미리 내집,150
청약,rising,복정 청약,110
청약,rising,청약 납입 횟수 조회,80
청약,rising,행복 주택 청약,60
청약,rising,행복 주택,50
청약,rising,청약 통장 납입 횟수,40
청약,rising,청약 통장 납입 횟수 확인,40
청약,rising,lh 청약 홈,40
아파트,top,주공 아파트,100
아파트,top,서울 아파트,61
아파트,top,아파트 시세,60
아파트,top,신비 아파트,52
아파트,top,잠실 주공 5 단지 아파트,50
아파트,top,아파트 매매,47
아파트,top,임대 아파트,45
아파트,top,신반포 2 차 아파트,44
아파트,top,자이 아파트,37
아파트,top,아파트 실거래,28
아파트,top,은마 아파트,27
아파트,top,래미안 블레스 티지 아파트,24
아파트,top,아파트 아이,21
아파트,top,아파트 실거래 가,18
아파트,top,아파트 청약,16
아파트,top,아파트 경매,12
아파트,top,아파트 평면도,11
아파트,top,하안 주공 5 단지 아파트,10
아파트,top,철산 자이 브리에르 아파트,9
아파트,top,드라마 아파트,7
아파트,top,목동 신시가지 7 단지 아파트,4
아파트,top,여의도 시범 아파트,4
아파트,top,과천 푸르지오 벨라 르테 아파트,3
아파트,top,한남 더힐 아파트,2
아파트,top,성산 시영 아파트,1
아파트,rising,철산 자이 브리에르 아파트,36750
아파트,rising,래미안 블레스 티지 아파트,26350
아파트,rising,목동 신시가지 7 단지 아파트,17500
아파트,rising,신반포 2 차 아파트,15400
아파트,rising,과천 푸르지오 벨라 르테 아파트,11000
아파트,rising,잠실 주공 5 단지 아파트,1050
아파트,rising,목동 6 단지 아파트,350
아파트,rising,주공 아파트,120
아파트,rising,한남 더힐 아파트,110
아파트,rising,은마 아파트,80
아파트,rising,여의도 시범 아파트,80
아파트,rising,성산 시영 아파트,70
아파트,rising,자이 아파트,60
AI,top,클로드 ai,100
AI,top,제미 나이 ai,66
AI,top,구글 ai,64
AI,top,google ai,53
AI,top,gemini ai,50
AI,top,claude ai,48
AI,top,오픈 ai,41
AI,top,ai 영상,38
AI,top,ai 추천,32
AI,top,ai studio,29
AI,top,아스트라 ai,28
AI,top,open ai,26
AI,top,ai 스튜디오,25
AI,top,제타 ai,20
AI,top,ai 채팅,20
AI,top,ai 모드,19
AI,top,구글 ai 스튜디오,18
AI,top,genspark ai,14
AI,top,ppt ai,14
AI,top,google ai studio,14
AI,top,flow ai,13
AI,top,자소서 ai,10
AI,top,힉스 필드 ai,8
AI,top,ai 역량 검사,8
AI,top,ai 시대 의 연구 윤리,5
AI,rising,나비 에 스토크 스 방정식 ai,18450
AI,rising,ai 시대 의 연구 윤리,9750
AI,rising,아스트라 ai,1200
AI,rising,오픈 ai 아스트라,500
AI,rising,ai 역량 검사,110
AI,rising,유니 브 ai,60
AI,rising,higgsfield ai,50
AI,rising,자소서 ai,50
