date,청약,아파트,종합소득세,구독서비스,AI
2026-09-08 01:00:00,7,16,1,0,100
2026-09-08 02:00:00,6,17,0,0,94
2026-09-08 03:00:00,6,15,0,0,82
2026-09-08 04:00:00,7,16,1,0,90
2026-09-08 05:00:00,6,18,0,0,98
2026-09-08 06:00:00,6,18,0,0,99
2026-09-08 07:00:00,5,20,0,0,95
2026-09-08 08:00:00,5,24,0,0,91
2026-09-08 09:00:00,4,21,0,0,75
2026-09-08 10:00:00,3,18,0,0,72
2026-09-08 11:00:00,4,16,0,0,75
2026-09-08 12:00:00,5,20,0,0,81
2026-09-08 13:00:00,4,23,0,0,83
2026-09-08 14:00:00,4,20,0,0,94
2026-09-08 15:00:00,4,14,0,0,92
2026-09-08 16:00:00,3,12,0,0,98
2026-09-08 17:00:00,2,10,0,0,85
2026-09-08 18:00:00,2,16,0,0,86
2026-09-08 19:00:00,2,17,0,0,74
2026-09-08 20:00:00,1,18,0,0,65
2026-09-08 21:00:00,1,22,0,0,54
2026-09-08 22:00:00,3,23,0,0,64
2026-09-08 23:00:00,5,21,0,0,77
2026-09-09 00:00:00,8,18,0,0,100
2026-09-09 01:00:00,9,18,0,0,100
2026-09-09 02:00:00,8,16,0,0,98
2026-09-09 03:00:00,7,16,0,0,84
2026-09-09 04:00:00,7,19,1,0,92
2026-09-09 05:00:00,7,22,0,0,100
2026-09-09 06:00:00,6,23,1,0,95
2026-09-09 07:00:00,7,21,1,0,94
2026-09-09 08:00:00,6,22,0,0,87
2026-09-09 09:00:00,4,24,0,0,75
2026-09-09 10:00:00,4,29,0,0,72
2026-09-09 11:00:00,4,27,0,0,70
2026-09-09 12:00:00,4,23,0,0,77
2026-09-09 13:00:00,4,18,0,0,76
2026-09-09 14:00:00,4,15,0,0,87
2026-09-09 15:00:00,3,13,0,0,87
2026-09-09 16:00:00,3,13,0,0,87
2026-09-09 17:00:00,1,11,1,0,87
2026-09-09 18:00:00,2,11,0,0,82
2026-09-09 19:00:00,2,16,0,0,71
2026-09-09 20:00:00,0,21,0,0,58
2026-09-09 21:00:00,1,30,0,0,53
2026-09-09 22:00:00,3,32,0,0,55
2026-09-09 23:00:00,5,26,0,0,76
2026-09-10 00:00:00,6,20,1,0,90
2026-09-10 01:00:00,6,19,0,0,91
2026-09-10 02:00:00,5,20,0,0,90
2026-09-10 03:00:00,6,16,0,0,80
2026-09-10 04:00:00,5,18,0,0,83
2026-09-10 05:00:00,5,20,1,0,90
2026-09-10 06:00:00,5,22,1,0,93
2026-09-10 07:00:00,5,24,1,0,79
2026-09-10 08:00:00,5,25,0,0,77
2026-09-10 09:00:00,4,31,0,0,70
2026-09-10 10:00:00,3,27,0,0,70
2026-09-10 11:00:00,3,28,0,0,69
2026-09-10 12:00:00,3,29,0,0,71
2026-09-10 13:00:00,4,30,0,0,74
2026-09-10 14:00:00,4,25,0,0,72
2026-09-10 15:00:00,3,19,0,0,74
2026-09-10 16:00:00,2,17,0,0,83
2026-09-10 17:00:00,3,17,0,0,81
2026-09-10 18:00:00,3,20,0,0,68
2026-09-10 19:00:00,2,25,0,0,70
2026-09-10 20:00:00,3,32,0,0,55
2026-09-10 21:00:00,2,42,0,0,45
2026-09-10 22:00:00,3,48,0,0,54
2026-09-10 23:00:00,4,40,0,0,70
2026-09-11 00:00:00,5,33,0,0,89
2026-09-11 01:00:00,7,30,0,0,91
2026-09-11 02:00:00,6,29,0,0,86
2026-09-11 03:00:00,6,28,0,0,78
2026-09-11 04:00:00,6,30,1,0,83
2026-09-11 05:00:00,6,27,0,0,94
2026-09-11 06:00:00,7,30,0,0,81
2026-09-11 07:00:00,7,26,0,0,78
2026-09-11 08:00:00,5,28,0,0,71
2026-09-11 09:00:00,5,28,0,0,65
2026-09-11 10:00:00,4,25,0,0,60
2026-09-11 11:00:00,3,23,0,0,59
2026-09-11 12:00:00,3,21,0,0,65
2026-09-11 13:00:00,2,17,1,0,65
2026-09-11 14:00:00,3,18,0,0,64
2026-09-11 15:00:00,2,17,0,0,69
2026-09-11 16:00:00,2,13,0,0,69
2026-09-11 17:00:00,3,13,0,0,71
2026-09-11 18:00:00,0,12,0,0,72
2026-09-11 19:00:00,2,15,0,0,58
2026-09-11 20:00:00,2,17,0,0,51
2026-09-11 21:00:00,2,21,0,0,41
2026-09-11 22:00:00,2,23,0,0,42
2026-09-11 23:00:00,2,23,0,0,47
2026-09-12 00:00:00,4,22,0,0,54
2026-09-12 01:00:00,3,20,0,0,59
2026-09-12 02:00:00,3,21,0,0,60
2026-09-12 03:00:00,2,19,0,0,60
2026-09-12 04:00:00,3,17,0,0,69
2026-09-12 05:00:00,2,17,0,0,59
2026-09-12 06:00:00,3,18,0,0,64
2026-09-12 07:00:00,2,19,0,0,65
2026-09-12 08:00:00,2,18,0,0,65
2026-09-12 09:00:00,3,23,0,0,58
2026-09-12 10:00:00,2,21,0,0,57
2026-09-12 11:00:00,2,21,0,0,54
2026-09-12 12:00:00,2,18,0,0,54
2026-09-12 13:00:00,2,19,0,0,57
2026-09-12 14:00:00,2,16,0,0,63
2026-09-12 15:00:00,1,13,0,0,63
2026-09-12 16:00:00,2,13,0,0,66
2026-09-12 17:00:00,1,13,0,0,61
2026-09-12 18:00:00,2,13,0,0,63
2026-09-12 19:00:00,2,17,0,0,56
2026-09-12 20:00:00,0,23,0,0,47
2026-09-12 21:00:00,0,25,0,0,38
2026-09-12 22:00:00,0,30,0,0,40
2026-09-12 23:00:00,1,23,0,0,45
2026-09-13 00:00:00,2,19,0,0,47
2026-09-13 01:00:00,3,17,0,0,51
2026-09-13 02:00:00,2,18,0,0,56
2026-09-13 03:00:00,3,18,0,0,54
2026-09-13 04:00:00,2,18,0,0,55
2026-09-13 05:00:00,3,18,0,0,63
2026-09-13 06:00:00,3,19,0,0,63
2026-09-13 07:00:00,3,18,0,0,62
2026-09-13 08:00:00,3,17,0,0,62
2026-09-13 09:00:00,2,22,1,0,57
2026-09-13 10:00:00,3,20,1,0,56
