topic,type,query,value
청약,top,주택 청약,100
청약,top,lh 청약,69
청약,top,sh,68
청약,top,sh 청약,68
청약,top,lh,66
청약,top,청약 통장,52
청약,top,청약 센터,48
청약,top,청약 플러스,48
청약,top,lh 청약 플러스,39
청약,top,sh 청약 센터,33
청약,top,청년 청약,31
청약,top,청년 주택 청약,25
청약,top,청년 주택,25
청약,top,청약 저축,25
청약,top,주택 청약 통장,21
청약,top,청약 철회,16
청약,top,주택 청약 종합 저축,16
청약,top,청약 해지,14
청약,top,아파트 청약,14
청약,top,행복 주택 청약,14
청약,top,청년 주택 드림 청약,13
청약,top,청년 청약 통장,13
청약,top,sh 주택 청약,12
청약,top,lh 청약 센터,12
청약,top,서울 청약,11
청약,rising,공모주 청약,130
청약,rising,공모주 청약 일정,90
청약,rising,행복 주택 청약,80
청약,rising,청약 통장 해지,60
청약,rising,인터넷 청약 시스템,50
청약,rising,청약 해지,50
청약,rising,청년 미래 적금,40
청약,rising,주택 청약 해지,40
아파트,top,아파트 시세,100
아파트,top,서울 아파트,97
아파트,top,신비 아파트,86
아파트,top,임대 아파트,76
아파트,top,신반포 2 차 아파트,72
아파트,top,주공 아파트,71
아파트,top,아파트 매매,70
아파트,top,은마 아파트,60
아파트,top,자이 아파트,55
아파트,top,래미안 블레스 티지 아파트,40
아파트,top,아파트 아이,32
아파트,top,아파트 실거래,29
아파트,top,아파트 청약,27
아파트,top,아파트 관리비,25
아파트,top,아파트 실거래 가,20
아파트,top,아파트 평면도,17
아파트,top,아파트 경매,17
아파트,top,하안 주공 5 단지 아파트,16
아파트,top,부영 아파트,16
아파트,top,대치동 은마 아파트,15
아파트,top,철산 자이 브리에르 아파트,10
아파트,top,여의도 시범 아파트,6
아파트,top,성산 시영 아파트,6
아파트,top,윤수일 아파트,3
아파트,top,한남 더힐 아파트,3
아파트,rising,래미안 블레스 티지 아파트,25100
아파트,rising,신반포 2 차 아파트,8100
아파트,rising,대치동 은마 아파트,1150
아파트,rising,성산 시영 아파트,160
아파트,rising,은마 아파트,150
아파트,rising,한남 더힐 아파트,100
아파트,rising,철산 자이 브리에르 아파트,80
아파트,rising,친구 모아 아파트,60
아파트,rising,여의도 시범 아파트,60
아파트,rising,윤수일 아파트,50
AI,top,클로드 ai,100
AI,top,구글 ai,83
AI,top,제미 나이 ai,70
AI,top,오픈 ai,57
AI,top,google ai,55
AI,top,무료 ai,53
AI,top,gemini ai,51
AI,top,ai 영상,50
AI,top,claude ai,47
AI,top,ai 이미지,46
AI,top,ai 추천,44
AI,top,ai studio,31
AI,top,open ai,28
AI,top,ai 스튜디오,27
AI,top,제타 ai,26
AI,top,ai 그림,19
AI,top,구글 ai 스튜디오,18
AI,top,ppt ai,17
AI,top,ai 에이전트,15
AI,top,ai 검사기,12
AI,top,힉스 필드 ai,12
AI,top,ai 데이터 센터,10
AI,top,메타 ai,9
AI,top,higgsfield ai,7
AI,top,ai detector,6
AI,rising,유니 브 ai,140
AI,rising,higgsfield ai,130
AI,rising,퓨리 오사 ai,130
AI,rising,오픈 ai,50
AI,rising,ai 판독기,40
