topic,type,query,value
청약,top,주택 청약,100
청약,top,lh 청약,58
청약,top,lh,57
청약,top,청약 통장,53
청약,top,청약 플러스,44
청약,top,sh,38
청약,top,sh 청약,37
청약,top,lh 청약 플러스,34
청약,top,청년 청약,33
청약,top,청약 센터,32
청약,top,청약 저축,27
청약,top,청년 주택 청약,26
청약,top,청년 주택,26
청약,top,주택 청약 통장,21
청약,top,청약 철회,17
청약,top,sh 청약 센터,17
청약,top,청약 대출,17
청약,top,주택 청약 종합 저축,17
청약,top,청약 해지,15
청약,top,아파트 청약,15
청약,top,청년 주택 드림 청약,15
청약,top,청년 청약 통장,15
청약,top,청년 주택 드림 청약 통장,11
청약,top,lh 청약 센터,10
청약,top,청약 일정,10
청약,rising,철산 자이 더 헤리티지,1850
청약,rising,빅 웨이브 로보틱스 청약,850
청약,rising,철산 자이 청약,800
청약,rising,챔피언스 시티,300
청약,rising,송파 더 그리드,250
청약,rising,청약 점수 계산기,190
청약,rising,더샵 분당 하이 스트,170
청약,rising,공모주 청약,160
청약,rising,청년 미래 적금,120
청약,rising,공모주 청약 일정,100
청약,rising,맹그로브 창천,100
청약,rising,청약 통장 해지,80
청약,rising,무순위 청약,80
청약,rising,청약 통장 이자,80
청약,rising,청약 통장 담보 대출,70
청약,rising,청약 담보 대출,70
청약,rising,청약 해지,70
청약,rising,주택 청약 담보 대출,70
청약,rising,주택 청약 해지,60
아파트,top,압구정 현대 아파트,100
아파트,top,서울 아파트,72
아파트,top,아파트 시세,72
아파트,top,신비 아파트,64
아파트,top,임대 아파트,53
아파트,top,아파트 매매,49
아파트,top,주공 아파트,48
아파트,top,자이 아파트,31
아파트,top,은마 아파트,29
아파트,top,아파트 아이,24
아파트,top,아파트 관리비,21
아파트,top,아파트 실거래,19
아파트,top,아파트 청약,18
아파트,top,청약,18
아파트,top,대치동 은마 아파트,14
아파트,top,아파트 실거래 가,14
아파트,top,강남 아파트,13
아파트,top,아파트 평면도,12
아파트,top,잠실 주공 5 단지 아파트,12
아파트,top,아파트 경매,12
아파트,top,아파트 영어 로,12
아파트,top,부영 아파트,11
아파트,top,아파트 재산세,9
아파트,top,성산 시영 아파트,4
아파트,top,신비 아파트 시즌 6,2
아파트,rising,압구정 현대 아파트,2200
아파트,rising,대치동 은마 아파트,2100
아파트,rising,성산 시영 아파트,190
아파트,rising,신비 아파트 사라,100
아파트,rising,친구 모아 아파트,90
아파트,rising,신비 아파트 시즌 6,90
아파트,rising,아파트 재산세,70
아파트,rising,한남 더힐 아파트,60
아파트,rising,아파트 404,60
