topic,type,query,value
AI,top,구글 ai,100
AI,top,클로드 ai,86
AI,top,제미 나이 ai,75
AI,top,영상 ai,64
AI,top,오픈 ai,59
AI,top,google ai,59
AI,top,ai 추천,54
AI,top,gemini ai,46
AI,top,제타 ai,44
AI,top,claude ai,44
AI,top,ai 직업 수명,38
AI,top,jev ai,35
AI,top,jev,34
AI,top,ai studio,34
AI,top,ai 그림,30
AI,top,ai 스튜디오,29
AI,top,ai 데이터 센터,27
AI,top,open ai,27
AI,top,메타 ai,25
AI,top,ai 에이전트,24
AI,top,muse ai,19
AI,top,muse,19
AI,top,meta ai,17
AI,top,니케 ai,15
AI,top,typesafe ai,15
AI,rising,ai 직업 수명,3200
AI,rising,jev,1000
AI,rising,jev ai,1000
AI,rising,typesafe ai,700
AI,rising,muse ai,600
AI,rising,muse,600
AI,rising,니케 ai,250
AI,rising,메타 ai,150
AI,rising,ai 데이터 센터,80
AI,rising,venice ai,50
AI,rising,우리 아이 ai,50
AI,rising,meta ai,40
