date,청약,아파트,종합소득세,구독서비스,AI
2026-09-02 01:00:00,7,15,1,0,92
2026-09-02 02:00:00,6,15,1,0,85
2026-09-02 03:00:00,5,13,0,0,75
2026-09-02 04:00:00,6,15,1,0,80
2026-09-02 05:00:00,6,16,1,0,82
2026-09-02 06:00:00,6,15,1,0,84
2026-09-02 07:00:00,5,15,0,0,83
2026-09-02 08:00:00,5,15,1,0,76
2026-09-02 09:00:00,3,12,0,0,76
2026-09-02 10:00:00,3,13,1,0,72
2026-09-02 11:00:00,3,13,0,0,61
2026-09-02 12:00:00,3,18,0,0,63
2026-09-02 13:00:00,3,30,0,0,67
2026-09-02 14:00:00,3,24,0,0,74
2026-09-02 15:00:00,3,20,0,0,83
2026-09-02 16:00:00,2,17,0,0,86
2026-09-02 17:00:00,3,15,0,0,74
2026-09-02 18:00:00,1,17,0,0,69
2026-09-02 19:00:00,2,24,0,0,70
2026-09-02 20:00:00,1,34,0,0,59
2026-09-02 21:00:00,2,48,0,0,49
2026-09-02 22:00:00,2,42,0,0,48
2026-09-02 23:00:00,4,37,0,0,62
2026-09-03 00:00:00,5,25,1,0,76
2026-09-03 01:00:00,6,23,1,0,85
2026-09-03 02:00:00,5,19,1,0,88
2026-09-03 03:00:00,5,18,1,0,75
2026-09-03 04:00:00,6,23,1,0,86
2026-09-03 05:00:00,5,22,0,0,83
2026-09-03 06:00:00,5,24,1,0,90
2026-09-03 07:00:00,5,32,1,0,82
2026-09-03 08:00:00,4,34,0,0,72
2026-09-03 09:00:00,3,36,0,0,65
2026-09-03 10:00:00,3,40,0,0,61
2026-09-03 11:00:00,2,32,0,0,61
2026-09-03 12:00:00,2,25,0,0,60
2026-09-03 13:00:00,2,21,0,0,65
2026-09-03 14:00:00,2,19,0,0,72
2026-09-03 15:00:00,2,14,0,0,85
2026-09-03 16:00:00,2,13,0,0,75
2026-09-03 17:00:00,2,10,0,0,71
2026-09-03 18:00:00,1,13,1,0,74
2026-09-03 19:00:00,0,17,0,0,70
2026-09-03 20:00:00,1,21,0,0,55
2026-09-03 21:00:00,1,27,0,0,50
2026-09-03 22:00:00,2,25,0,0,50
2026-09-03 23:00:00,3,21,0,0,66
2026-09-04 00:00:00,4,18,0,0,78
2026-09-04 01:00:00,4,17,1,0,83
2026-09-04 02:00:00,4,16,0,0,84
2026-09-04 03:00:00,4,16,0,0,76
2026-09-04 04:00:00,4,17,1,0,77
2026-09-04 05:00:00,4,18,1,0,87
2026-09-04 06:00:00,4,18,1,0,88
2026-09-04 07:00:00,3,18,0,0,76
2026-09-04 08:00:00,3,18,0,0,67
2026-09-04 09:00:00,3,13,0,0,66
2026-09-04 10:00:00,2,13,0,0,60
2026-09-04 11:00:00,2,12,0,0,58
2026-09-04 12:00:00,2,12,0,0,65
2026-09-04 13:00:00,2,12,0,0,69
2026-09-04 14:00:00,2,11,0,0,70
2026-09-04 15:00:00,2,11,0,0,73
2026-09-04 16:00:00,2,9,0,0,74
2026-09-04 17:00:00,1,9,0,0,73
2026-09-04 18:00:00,0,9,0,0,68
2026-09-04 19:00:00,1,9,0,0,65
2026-09-04 20:00:00,2,11,0,0,51
2026-09-04 21:00:00,0,14,0,0,32
2026-09-04 22:00:00,1,22,0,0,39
2026-09-04 23:00:00,2,20,0,0,43
