date,청약,아파트,종합소득세,구독서비스,AI
2026-09-19 00:00:00,2,16,0,0,50
2026-09-19 01:00:00,2,15,0,0,53
2026-09-19 02:00:00,2,16,0,0,50
2026-09-19 03:00:00,2,14,0,0,52
2026-09-19 04:00:00,2,13,0,0,50
2026-09-19 05:00:00,4,16,0,0,53
2026-09-19 06:00:00,4,17,0,0,50
2026-09-19 07:00:00,3,16,0,0,47
2026-09-19 08:00:00,2,14,0,0,47
2026-09-19 09:00:00,0,11,0,0,43
2026-09-19 10:00:00,2,11,0,0,41
2026-09-19 11:00:00,0,14,0,0,41
2026-09-19 12:00:00,0,13,0,0,48
2026-09-19 13:00:00,3,10,0,0,46
2026-09-19 14:00:00,0,9,0,0,50
2026-09-19 15:00:00,0,10,0,0,47
2026-09-19 16:00:00,3,9,0,0,62
2026-09-19 17:00:00,0,11,0,0,66
2026-09-19 18:00:00,6,11,0,0,55
2026-09-19 19:00:00,0,11,0,0,66
2026-09-19 20:00:00,0,15,0,0,60
2026-09-19 21:00:00,0,17,0,0,51
2026-09-19 22:00:00,0,15,0,0,53
2026-09-19 23:00:00,0,14,0,0,52
2026-09-20 00:00:00,0,12,0,0,49
2026-09-20 01:00:00,0,15,0,0,56
2026-09-20 02:00:00,3,13,0,0,52
2026-09-20 03:00:00,0,13,0,0,55
2026-09-20 04:00:00,3,16,0,0,52
2026-09-20 05:00:00,3,18,0,0,45
2026-09-20 06:00:00,3,16,0,0,57
2026-09-20 07:00:00,0,13,0,0,57
2026-09-20 08:00:00,2,17,0,0,55
2026-09-20 09:00:00,2,14,0,0,48
2026-09-20 10:00:00,2,14,0,0,50
2026-09-20 11:00:00,0,14,0,0,43
2026-09-20 12:00:00,3,15,0,0,52
2026-09-20 13:00:00,3,13,0,0,55
2026-09-20 14:00:00,0,10,0,0,55
2026-09-20 15:00:00,3,8,0,0,48
2026-09-20 16:00:00,0,8,0,0,55
2026-09-20 17:00:00,0,9,0,0,47
2026-09-20 18:00:00,0,12,0,0,75
2026-09-20 19:00:00,0,0,0,0,60
2026-09-20 20:00:00,0,18,0,0,51
2026-09-20 21:00:00,0,18,0,0,52
2026-09-20 22:00:00,0,14,0,0,56
2026-09-20 23:00:00,5,16,0,0,67
2026-09-21 00:00:00,6,16,0,0,73
2026-09-21 01:00:00,7,17,0,0,76
2026-09-21 02:00:00,4,16,0,0,82
2026-09-21 03:00:00,5,18,0,0,66
2026-09-21 04:00:00,5,18,0,0,65
2026-09-21 05:00:00,6,18,0,0,73
2026-09-21 06:00:00,5,18,0,0,68
2026-09-21 07:00:00,6,20,0,0,69
2026-09-21 08:00:00,6,20,0,0,64
