topic,type,query,value
청약,top,주택 청약,100
청약,top,lh 청약,72
청약,top,lh,70
청약,top,sh 청약,68
청약,top,sh,67
청약,top,청약 센터,53
청약,top,청약 플러스,50
청약,top,청약 통장,48
청약,top,lh 청약 플러스,41
청약,top,sh 청약 센터,35
청약,top,청년 청약,29
청약,top,청약 저축,23
청약,top,청년 주택 청약,23
청약,top,청년 주택,23
청약,top,주택 청약 통장,19
청약,top,주택 청약 저축,18
청약,top,청약 철회,16
청약,top,주택 청약 종합 저축,14
청약,top,행복 주택,13
청약,top,행복 주택 청약,13
청약,top,아파트 청약,13
청약,top,lh 청약 센터,13
청약,top,청년 청약 통장,13
청약,top,청년 주택 드림 청약,12
청약,top,sh 주택 청약,12
청약,rising,송파 파크 데일 3,8900
청약,rising,서초 선포 레,8250
청약,rising,힐 스테이트 송파 더 그리드,3350
청약,rising,송파 더 그리드,1800
청약,rising,공모주 청약,90
청약,rising,행복 주택,80
청약,rising,행복 주택 청약,80
청약,rising,윤슬 자이,50
청약,rising,청약 통장 해지,40
청약,rising,인터넷 청약 시스템,40
청약,rising,bmc 청약 센터,40
아파트,top,서울 아파트,100
아파트,top,아파트 시세,95
아파트,top,신비 아파트,93
아파트,top,임대 아파트,75
아파트,top,주공 아파트,72
아파트,top,신반포 2 차 아파트,72
아파트,top,아파트 매매,71
아파트,top,자이 아파트,60
아파트,top,은마 아파트,45
아파트,top,래미안 블레스 티지 아파트,40
아파트,top,아파트 아이,32
아파트,top,아파트 실거래,32
아파트,top,아파트 청약,27
아파트,top,아파트 실거래 가,22
아파트,top,아파트 경매,17
아파트,top,아파트 평면도,17
아파트,top,철산 자이 브리에르 아파트,16
아파트,top,하안 주공 5 단지 아파트,16
아파트,top,아파트 영어 로,16
아파트,top,여의도 시범 아파트,7
아파트,top,과천 푸르지오 벨라 르테 아파트,5
아파트,top,은마 아파트 재건축,4
아파트,top,한남 더힐 아파트,3
아파트,top,친구 모아 아파트,2
아파트,rising,래미안 블레스 티지 아파트,98950
아파트,rising,철산 자이 브리에르 아파트,39100
아파트,rising,신반포 2 차 아파트,7400
아파트,rising,과천 푸르지오 벨라 르테 아파트,2200
아파트,rising,한남 더힐 아파트,130
아파트,rising,여의도 시범 아파트,90
아파트,rising,은마 아파트,90
아파트,rising,자이 아파트,50
아파트,rising,은마 아파트 재건축,40
AI,top,클로드 ai,100
AI,top,구글 ai,76
AI,top,제미 나이 ai,70
AI,top,오픈 ai,54
AI,top,google ai,52
AI,top,gemini ai,49
AI,top,무료 ai,48
AI,top,claude ai,46
AI,top,ai 영상,44
AI,top,ai 추천,40
AI,top,ai studio,30
AI,top,아스트라 ai,28
AI,top,ai 스튜디오,27
AI,top,open ai,27
AI,top,ai 모드,24
AI,top,제타 ai,24
AI,top,ai 채팅,23
AI,top,구글 ai 스튜디오,19
AI,top,ai 그림,18
AI,top,ppt ai,17
AI,top,google ai studio,15
AI,top,자소서 ai,14
AI,top,ai 검사기,11
AI,top,힉스 필드 ai,11
AI,top,ai 역량 검사,10
AI,rising,나비 에 스토크 스 방정식 ai,9300
AI,rising,ai 역량 검사,160
AI,rising,아스트라 ai,120
AI,rising,베니스 ai,110
AI,rising,higgsfield ai,100
AI,rising,유니 브 ai,90
AI,rising,ai 킬러,80
AI,rising,오픈 ai,70
AI,rising,자소서 ai,60
AI,rising,우리 아이 ai,50
