date,청약,아파트,종합소득세,구독서비스,AI
2026-09-17 00:00:00,5,20,0,0,79
2026-09-17 01:00:00,5,21,0,0,81
2026-09-17 02:00:00,5,20,1,0,74
2026-09-17 03:00:00,5,19,0,0,69
2026-09-17 04:00:00,5,20,1,0,76
2026-09-17 05:00:00,5,21,0,0,78
2026-09-17 06:00:00,4,19,1,0,74
2026-09-17 07:00:00,5,18,1,0,71
2026-09-17 08:00:00,4,18,0,0,67
2026-09-17 09:00:00,3,17,0,0,65
2026-09-17 10:00:00,3,16,0,0,63
2026-09-17 11:00:00,3,15,0,0,61
2026-09-17 12:00:00,3,17,0,0,64
2026-09-17 13:00:00,3,14,0,0,64
2026-09-17 14:00:00,3,12,0,0,68
2026-09-17 15:00:00,2,10,0,0,68
2026-09-17 16:00:00,2,14,0,0,79
2026-09-17 17:00:00,2,15,0,0,75
2026-09-17 18:00:00,1,15,0,0,74
2026-09-17 19:00:00,2,18,0,0,66
2026-09-17 20:00:00,2,28,0,0,52
2026-09-17 21:00:00,0,34,0,0,39
2026-09-17 22:00:00,2,33,0,0,47
2026-09-17 23:00:00,4,31,0,0,61
2026-09-18 00:00:00,4,26,0,0,74
2026-09-18 01:00:00,4,25,0,0,76
2026-09-18 02:00:00,4,26,1,0,74
2026-09-18 03:00:00,4,26,0,0,65
2026-09-18 04:00:00,5,21,0,0,71
2026-09-18 05:00:00,4,21,0,0,75
2026-09-18 06:00:00,4,20,0,0,69
2026-09-18 07:00:00,4,19,0,0,60
2026-09-18 08:00:00,3,17,0,0,61
2026-09-18 09:00:00,3,15,0,0,61
2026-09-18 10:00:00,2,15,0,0,58
2026-09-18 11:00:00,2,15,0,0,53
2026-09-18 12:00:00,2,13,0,0,55
2026-09-18 13:00:00,2,12,0,0,60
2026-09-18 14:00:00,2,13,0,0,61
2026-09-18 15:00:00,2,11,0,0,62
2026-09-18 16:00:00,2,10,0,0,61
2026-09-18 17:00:00,0,9,0,0,61
2026-09-18 18:00:00,1,9,0,0,55
2026-09-18 19:00:00,2,8,0,0,55
2026-09-18 20:00:00,0,11,0,0,47
2026-09-18 21:00:00,1,18,0,0,38
2026-09-18 22:00:00,1,16,0,0,43
2026-09-18 23:00:00,2,16,0,0,43
2026-09-19 00:00:00,2,16,0,0,51
2026-09-19 01:00:00,2,15,0,0,54
2026-09-19 02:00:00,2,16,0,0,51
2026-09-19 03:00:00,2,15,0,0,53
2026-09-19 04:00:00,2,13,0,0,51
2026-09-19 05:00:00,3,16,0,0,54
2026-09-19 06:00:00,4,18,0,0,50
2026-09-19 07:00:00,0,17,0,0,49
2026-09-19 08:00:00,0,14,0,0,48
2026-09-19 09:00:00,0,12,0,0,44
2026-09-19 10:00:00,0,11,0,0,41
2026-09-19 11:00:00,2,13,0,0,46
2026-09-19 12:00:00,2,12,0,0,48
2026-09-19 13:00:00,3,11,0,0,45
2026-09-19 14:00:00,2,8,0,0,50
2026-09-19 15:00:00,0,10,0,0,49
2026-09-19 16:00:00,4,9,0,0,62
2026-09-19 17:00:00,0,13,0,0,67
2026-09-19 18:00:00,0,9,0,0,57
2026-09-19 19:00:00,0,12,0,0,63
2026-09-19 20:00:00,0,15,0,0,63
2026-09-19 21:00:00,0,13,0,0,52
2026-09-19 22:00:00,0,15,0,0,53
2026-09-19 23:00:00,4,16,0,0,56
2026-09-20 00:00:00,0,13,0,0,50
2026-09-20 01:00:00,0,15,0,0,59
2026-09-20 02:00:00,3,14,0,0,52
2026-09-20 03:00:00,0,12,0,0,55
2026-09-20 04:00:00,2,16,0,0,54
2026-09-20 05:00:00,2,18,0,0,46
2026-09-20 06:00:00,3,14,0,0,56
2026-09-20 07:00:00,4,14,0,2,59
2026-09-20 08:00:00,3,17,0,0,55
2026-09-20 09:00:00,3,14,0,0,50
2026-09-20 10:00:00,3,14,0,0,50
2026-09-20 11:00:00,3,15,0,0,44
2026-09-20 12:00:00,3,16,0,0,52
2026-09-20 13:00:00,5,13,0,0,55
2026-09-20 14:00:00,0,11,0,0,56
2026-09-20 15:00:00,3,8,0,0,51
2026-09-20 16:00:00,0,9,0,0,57
2026-09-20 17:00:00,0,8,0,0,50
2026-09-20 18:00:00,0,13,0,0,75
2026-09-20 19:00:00,0,0,0,0,58
2026-09-20 20:00:00,0,11,0,0,51
2026-09-20 21:00:00,0,15,0,0,56
2026-09-20 22:00:00,0,13,0,0,58
2026-09-20 23:00:00,5,16,0,0,66
2026-09-21 00:00:00,6,17,0,0,75
2026-09-21 01:00:00,7,18,0,0,77
2026-09-21 02:00:00,4,16,0,0,84
2026-09-21 03:00:00,4,18,0,0,68
2026-09-21 04:00:00,7,18,0,0,66
2026-09-21 05:00:00,6,17,0,0,75
2026-09-21 06:00:00,5,19,0,0,70
2026-09-21 07:00:00,6,20,0,2,70
2026-09-21 08:00:00,6,20,0,0,65
2026-09-21 09:00:00,5,13,0,0,60
2026-09-21 10:00:00,3,15,0,0,48
2026-09-21 11:00:00,6,15,0,0,56
2026-09-21 12:00:00,4,16,0,0,61
2026-09-21 13:00:00,3,13,0,0,67
2026-09-21 14:00:00,3,11,0,0,67
2026-09-21 15:00:00,2,6,0,0,100
2026-09-21 16:00:00,0,8,0,0,67
2026-09-21 17:00:00,0,10,0,0,65
2026-09-21 18:00:00,0,9,0,0,79
2026-09-21 19:00:00,0,10,0,0,67
2026-09-21 20:00:00,0,11,0,0,68
2026-09-21 21:00:00,0,17,0,0,58
2026-09-21 22:00:00,8,19,0,0,49
2026-09-21 23:00:00,8,17,0,0,86
2026-09-22 00:00:00,15,14,0,0,74
2026-09-22 01:00:00,11,19,0,0,76
2026-09-22 02:00:00,11,16,0,0,72
2026-09-22 03:00:00,11,18,0,0,66
2026-09-22 04:00:00,10,18,0,0,69
2026-09-22 05:00:00,8,17,0,0,72
2026-09-22 06:00:00,10,17,0,0,73
2026-09-22 07:00:00,9,21,0,0,74
2026-09-22 08:00:00,6,31,0,0,72
2026-09-22 09:00:00,4,25,0,0,61
2026-09-22 10:00:00,3,25,0,0,60
2026-09-22 11:00:00,3,23,0,0,57
2026-09-22 12:00:00,2,20,0,0,59
2026-09-22 13:00:00,3,19,0,0,58
2026-09-22 14:00:00,3,16,0,0,60
2026-09-22 15:00:00,2,13,0,0,67
2026-09-22 16:00:00,2,13,0,0,68
2026-09-22 17:00:00,2,11,0,0,61
2026-09-22 18:00:00,2,11,0,0,60
2026-09-22 19:00:00,0,20,0,0,57
2026-09-22 20:00:00,0,24,0,0,48
2026-09-22 21:00:00,1,26,0,0,45
2026-09-22 22:00:00,3,26,0,0,48
2026-09-22 23:00:00,4,21,0,0,58
2026-09-23 00:00:00,6,19,1,0,72
2026-09-23 01:00:00,6,18,1,0,74
2026-09-23 02:00:00,5,16,1,0,66
2026-09-23 03:00:00,5,18,0,0,58
2026-09-23 04:00:00,5,18,0,0,62
2026-09-23 05:00:00,4,21,0,0,63
2026-09-23 06:00:00,4,19,0,0,64
2026-09-23 07:00:00,4,20,1,0,65
2026-09-23 08:00:00,4,20,0,0,54
2026-09-23 09:00:00,3,18,0,0,49
2026-09-23 10:00:00,2,18,0,0,44
2026-09-23 11:00:00,2,15,0,0,43
2026-09-23 12:00:00,2,15,0,0,45
2026-09-23 13:00:00,2,14,0,0,46
2026-09-23 14:00:00,2,13,0,0,48
2026-09-23 15:00:00,2,10,0,0,50
2026-09-23 16:00:00,2,11,0,0,53
2026-09-23 17:00:00,0,10,0,0,52
2026-09-23 18:00:00,2,10,0,0,46
2026-09-23 19:00:00,0,12,0,0,44
2026-09-23 20:00:00,0,14,0,0,44
2026-09-23 21:00:00,2,18,0,0,34
2026-09-23 22:00:00,2,17,0,0,34
2026-09-23 23:00:00,2,19,0,0,40
2026-09-24 00:00:00,2,18,0,0,40
